Year,Percent_Missing,Mean,Median,Std,Min,Max
1990,5.002824681438704,5429.325913471124,4719.201243497018,3060.0262720219484,270.92198581560285,106222.22222222222
1992,100.0,,,,,
1995,7.0597312415611135,6704.331854348261,5941.418962898677,3209.229153402968,1608.1081081081081,173333.33333333334
1996,6.5136076357539014,7292.275912754045,6218.863611793233,5391.394840917837,2579.2031098153548,215142.85714285713
1997,7.787486446839723,7567.549942212091,6534.436247994295,4617.170872265918,2461.5384615384614,145181.81818181818
1998,7.38173957273652,7886.744483719576,6796.121212121212,4750.576082493389,1489.010989010989,147200.0
1999,7.567194172318513,8342.632138163068,7181.990521327014,5373.163798563845,331.2577833125778,184735.29411764705
2000,7.302701686203222,9019.944130204678,7671.303820653717,10733.406167558238,810.8108108108108,840243.9024390244
2001,8.073767963979522,9542.256635214826,8185.793300650099,6085.796651389493,926.517571884984,191106.66666666666
2002,7.128798130151311,9988.119960905764,8582.970003487966,5823.471366986013,1710.6598984771574,133442.62295081967
2003,7.024843960347571,10400.858673747329,8907.53490780164,6280.124554688746,1465.9685863874345,154000.0
2004,7.043277973087648,10714.315167024071,9132.712727597758,6764.001744200835,2257.3529411764707,158322.5806451613
2005,7.305028605841614,11190.404453591647,9497.186049400843,7418.521839717169,2379.310344827586,202800.0
2006,7.221821677481374,11680.343472329138,9890.517979452055,7557.363457039195,130.20833333333334,184500.0
2007,6.4657801634744425,12378.941265779002,10412.287993809732,8164.282236791536,222.22222222222223,271875.0
2008,6.600619947729898,13113.198647138415,10974.33728144388,9026.886259193647,368.42105263157896,255595.54730983303
2009,6.502445209201231,13573.1810605145,11362.096739458157,9588.591991104162,253.5211267605634,424090.9090909091
2010,15.323066805502275,13705.513726698913,11505.569346317867,12059.400964981207,134.2281879194631,857000.0
2011,15.734819915833198,14668.196803594505,11485.459592291545,43869.108634801145,655.8309630231613,4425000.0
2012,14.260055516246666,14520.214006542657,11562.174236783321,23390.831579626476,125.50607287449392,1368000.0
2013,14.764301564106727,15267.989469371676,11566.539923954373,37606.518348967846,7.183908045977011,2026000.0
2014,15.04643298083633,17079.337996151222,11866.484260076493,263353.337454199,548.1481481481482,32930000.0
2015,14.982055814451764,14923.389644658666,12231.700412545528,15167.921839897217,142.85714285714286,1027773.8095238095
2016,15.084455847765662,15043.405487099286,12602.976633904469,10857.173052713359,425.1412429378531,485957.7922077922
2017,14.705567451820128,15501.714266751707,13133.333333333334,11170.106863217035,483.3333333333333,515355.6338028169
2018,14.886454715468874,16898.501997440217,13629.661016949152,47804.878512978066,490.01536098310294,4567000.0
2019,14.619289340101524,17069.962977826828,14070.604200967919,18036.349122126423,2238.2550335570468,1216142.857142857
2020,13.069337128914194,17522.87789657747,14590.201919894074,14845.858777071317,493.5064935064935,782083.3333333334
2021,12.365756366983739,18707.25234908361,15414.665313639267,20226.051346465538,1065.6934306569342,1193496.5034965035
2022,12.078479460453709,20815.70837775781,16869.82229418731,30640.54046380204,433.1087584215592,2339285.714285714
