"","Human Capital without Control Function","Human Capital with Control Function"
"delta","0","0"
"","0.007","0.004"
"","[-0.002,0.008]","[0.001,0.006]"
"control function","0","-0.001"
"","0","0.026"
"","[0,0]","[-0.004,0.029]"
"peducation","0","0"
"","0.002","0.003"
"","[-0.003,0]","[-0.004,0]"
"theta_h","0.99","0.99"
"","0.071","0.021"
"","[0.895,0.985]","[0.962,0.989]"
"theta_p","0.985","0.985"
"","0.168","0.37"
"","[0.765,0.978]","[0.493,0.964]"
"ces_delta","0.01","0.093"
"","0.607","0"
"","[0.174,0.947]","[0.99,0.99]"
"mu","-0.001","0.002"
"","0","0"
"","[0.99,0.99]","[0.99,0.99]"
"rho","0.99","0.99"
"","4.236","1.439"
"","[-4.7,0.69]","[-0.943,0.888]"
"outer elasticity of substitution","100","100"
"","70.593","70.365"
"","[5.158,95.008]","[5.465,95.024]"
"inner elasticity of substitution","0.999","1.002"
"","0","0"
"","[100,100]","[100,100]"
